action;période;cabinet;budget estimé;clients;"score" de l'action;représentants visés;secteurs;classif

;01-01-2023-31-12-2023;RHÉA;336.5€;['PHILIP MORRIS FRANCE', 'TMA'];10;['Député, sénateur, collaborateur, agents des services des assemblées'];['Finances publiques'];prive:100.0;syndicat:0.0;public:0.0;collectivite:0.0
Accises des produits du tabac - Eviter la mise en place d'une taxe sur les produits du vapotage;01-01-2023-31-12-2023;ARCTURUS GROUP;158.7€;['COLLECTIF DES ACTEURS DE LA CIGARETTE ELECTRONIQUE'];12;['Collaborateur du Président de la République', 'Membre du Gouvernement ou membre de cabinet ministériel'];['Santé'];prive:100.0;syndicat:0.0;public:0.0;collectivite:0.0
PPL visant à interdire les Puffs - Fonder l'interdiction sur des raisons environnementales plutôt que de santé publique;01-01-2023-31-12-2023;ARCTURUS GROUP;185.2€;['COLLECTIF DES ACTEURS DE LA CIGARETTE ELECTRONIQUE'];14;['Collaborateur du Président de la République', 'Député, sénateur, collaborateur, agents des services des assemblées', 'Membre du Gouvernement ou membre de cabinet ministériel', 'Premier ministre'];['Santé'];prive:100.0;syndicat:0.0;public:0.0;collectivite:0.0
PPL visant à interdire les Puffs - Fonder l'interdiction sur des raisons environnementales plutôt que de santé publique;01-01-2023-31-12-2023;FIVAPE - FÉDÉRATION INTERPROFESSIONNELLE DE LA VAPE;52500.0€;['FIVAPE - FÉDÉRATION INTERPROFESSIONNELLE DE LA VAPE'];14;['Collaborateur du Président de la République', 'Député, sénateur, collaborateur, agents des services des assemblées', 'Membre du Gouvernement ou membre de cabinet ministériel', 'Premier ministre'];['Santé'];prive:100.0;syndicat:0.0;public:0.0;collectivite:0.0
Plan National de Lutte contre le Tabac - inclure les produits du vapotage parmi les outils de sevrage tabagique;01-01-2023-31-12-2023;ARCTURUS GROUP;172.0€;['COLLECTIF DES ACTEURS DE LA CIGARETTE ELECTRONIQUE'];13;['Collaborateur du Président de la République', 'Membre du Gouvernement ou membre de cabinet ministériel', 'Premier ministre'];['Santé'];prive:100.0;syndicat:0.0;public:0.0;collectivite:0.0
Plan National de Lutte contre le Tabac - inclure les produits du vapotage parmi les outils de sevrage tabagique;01-01-2023-31-12-2023;FIVAPE - FÉDÉRATION INTERPROFESSIONNELLE DE LA VAPE;52500.0€;['FIVAPE - FÉDÉRATION INTERPROFESSIONNELLE DE LA VAPE'];14;['Collaborateur du Président de la République', 'Membre du Gouvernement ou membre de cabinet ministériel', 'Premier ministre'];['Santé'];prive:100.0;syndicat:0.0;public:0.0;collectivite:0.0
Dans le cadre du projet de loi douanes, impliquer davantage les plateformes de partage de contenus en ligne dans la lutte contre la vente illégale de produits du tabac;01-01-2023-31-12-2023;COMMUNICATION & INSTITUTIONS;50.1€;['JT INTERNATIONAL FRANCE'];11;['Député, sénateur, collaborateur, agents des services des assemblées'];['Concurrence, consommation', 'Numérique'];prive:100.0;syndicat:0.0;public:0.0;collectivite:0.0
Dans le cadre du projet de loi douane, donner aux agents de police municipale le pouvoir de constater l’infraction de vente à la sauvette;01-01-2023-31-12-2023;COMMUNICATION & INSTITUTIONS;50.1€;['JT INTERNATIONAL FRANCE'];11;['Député, sénateur, collaborateur, agents des services des assemblées'];['Concurrence, consommation', 'Défense, sécurité'];prive:100.0;syndicat:0.0;public:0.0;collectivite:0.0
Dans le cadre du projet de loi douanes, demander au Gouvernement la remise d’un rapport annuel au Parlement relatif au marché parallèle des produits du tabac en France ;01-01-2023-31-12-2023;COMMUNICATION & INSTITUTIONS;50.1€;['JT INTERNATIONAL FRANCE'];11;['Député, sénateur, collaborateur, agents des services des assemblées'];['Economie', 'Concurrence, consommation'];prive:100.0;syndicat:0.0;public:0.0;collectivite:0.0
Présenter l'état du commerce illicite de produits du tabac en France et en Europe;01-01-2023-31-12-2023;PHILIP MORRIS FRANCE;30405.4€;['PHILIP MORRIS FRANCE'];10;['Député, sénateur, collaborateur, agents des services des assemblées', 'Membre du Gouvernement ou membre de cabinet ministériel', 'Premier ministre'];['Propriété intellectuelle', 'Justice'];prive:100.0;syndicat:0.0;public:0.0;collectivite:0.0
PPL vente illicite de tabac : rédaction d’un rapport sur l’extension de l’amende forfaitaire délictuelle aux infractions liées à l’achat à la sauvette de cigarettes;01-01-2023-31-12-2023;PHILIP MORRIS FRANCE;27364.9€;['PHILIP MORRIS FRANCE'];9;['Député, sénateur, collaborateur, agents des services des assemblées'];['Justice'];prive:100.0;syndicat:0.0;public:0.0;collectivite:0.0
PJL JOP : déployer la vidéoprotection dans les lieux particulièrement exposés au trafic de produits contrefaits;01-01-2023-31-12-2023;PHILIP MORRIS FRANCE;27364.9€;['PHILIP MORRIS FRANCE'];9;['Député, sénateur, collaborateur, agents des services des assemblées'];['Justice'];prive:100.0;syndicat:0.0;public:0.0;collectivite:0.0
PJL SREN : contraindre les fournisseurs de plateformes en ligne à prendre des mesures coercitives pour prévenir la vente en ligne de produits contrefaits;01-01-2023-31-12-2023;PHILIP MORRIS FRANCE;27364.9€;['PHILIP MORRIS FRANCE'];9;['Député, sénateur, collaborateur, agents des services des assemblées'];['Justice'];prive:100.0;syndicat:0.0;public:0.0;collectivite:0.0
